"GMPP ID Number","Project Name","Department","Annual Report Category","Description / Aims","IPA Delivery Confidence Assessment 
(A Delivery Confidence Assessment of the project at a fixed point in time, using a three-point scale, Red – Amber – Green; definitions in the IPA Annual Report on Major Projects)","SRO Delivery Confidence Assessment 
(A Delivery Confidence Assessment of the project at a fixed point in time, using a three-point scale, Red – Amber – Green; definitions in the IPA Annual Report on Major Projects)","Departmental commentary on actions planned or taken on the IPA RAG rating.","Project - Start Date 
(Latest Approved Start Date)","Project - End Date 
(Latest Approved End Date)","Departmental narrative on schedule, including any deviation from planned schedule (if necessary)","Financial Year Baseline (£m) (including Non-Government Costs)","Financial Year Forecast (£m) (including Non-Government Costs)","Financial Year Variance (%)","Departmental narrative on  budget/forecast variance for 2021/22 
(if variance is more than 5%)","TOTAL Baseline Whole Life Costs (£m) (including Non-Government Costs)","Departmental Narrative on Budgeted Whole Life Costs"
"BEIS_0018_2122-Q1","CCUS","BEIS","Infrastructure and Construction","CCUS is essential in meeting net zero target and we have committed to supporting the deployment of CCUS in two industrial clusters by the mid-2020s and a further two clusters by 2030, as announced in the Prime Minister's Ten Point Plan. As set out in the Net Zero Strategy we have an ambition to capture 20-30 million tonnes of CO2per annum and, as per the Energy Security Strategy, will enable 10 GW of low carbon hydrogen capacity by 2030 with at least half from electrolytic hydrogen, subject to affordability and value for money.","Amber","","The Infrastructure Project Authority's Delivery Confidence Assessment rating at 21/22-Q4 is Amber. This is primarily due to the following factors: The programme is complex in nature and delivering to tight timescales with a number of potential blockers identified.  Risks are being actively managed to mitigate against delays and recommendations from recent IPA assessment are being implemented.","2020-04-01","2030-12-31","Your project end-date is 31 DEC 2030. This is primarily due to the following factors: The programme remains on schedule, with the risks identified, to meet the commitment of two clusters by mid 2020s and four clusters by 2030.","£155.80","£13.80","-91%","The budget variance in FY21/22 is due to the reprofiling of Capital costs over the whole programme lifetime.","£3,330","Your projects Baseline Whole Life Cost is 3330.20 (£m). This is primarily due to the following factors: The majority of the CCUS Budgeted Whole Life Costs consist of the Capital Investment Fund of £3,000m . This fund will support the capital costs of strategic CCUS infrastructure, primarily Transport and Storage networks, and industrial carbon capture projects. This will help to address, along with work on enduring business models, the commercial barriers that have previously impacted the development of CCUS in the UK. This is a proportion of the whole life costs, which are split between the CCUS and Industrial Decarbonisation and Hydrogen Revenue Support (IDHRS) programmes."
"DECC_0005_1112-Q1","Geological Disposal Facility Programme (GDF)","BEIS","Infrastructure and Construction","The primary objective of the programme is to site and construct a permanent geological disposal facility (GDF) as the safe, secure and environmentally responsible solution to the long-term management of higher-activity radioactive waste in the UK, excluding Scotland.  A GDF is the internationally agreed and only viable permanent answer to the UK's existing legacy of Highly radioactive waste.   As a nationally significant infrastructure programme a GDF will also provide an opportunity to sustainably boost the economy of the host region and local community to transform itself for many generations. The programme also supports the delivery of the UK's nuclear new build programme as the Government needs to be satisfied that effective arrangements exist or will exist to manage and dispose of the wastes they will produce before development consents for new nuclear power stations are granted.","","Amber","Compared to financial year 20/21-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 21/22-Q4 increased from Green to Amber		
The SRO SQA has changed from green to amber due to ongoing funding constraints.   The programme faces large uncertainties at this stage due to the site selection process; Until we confirm a willing community, a suitable site, and test the site characteristics, we cannot be confident of timescales and costs.  
-	Uncertainty in finding a willing community continues to reduce as three Community Partnerships have now been formed and a working group progressing towards Community Partnership. There is a pipeline of further potential communities with good site prospects.  
-	There has been considerable progress with enabling activities to support the current and next phases: business cases for major permissions work, and a property value protection scheme are in progress. Plans are underway to start seismic investigations of potential sites in Copeland. 
The transformation and capability build of the organisation continues with development to support seismic surveys and technical evaluation activities. Confidence in engaging volunteer communities has grown further with the formation of three community partnerships in West Cumbria and a fourth working group in East Lindsey.  Active and focussed engagement continues with additional communities.   The transformation of the GDF programme continues with ongoing capability development and recruitment to meet the changing nature of the programme preparing for the next significant phase - concept design and site suitability.  The GDF is now part of the Major Capital Programmes Directorate of the newly formed NDA Nuclear Waste Services.  
It should be noted that the GDF programme spans a significant time period on a whole life basis and is still at a very early stage in the lifecycle, construction is due to start in the 2040s.  The programme still faces exceptional uncertainty levels at this stage with success dependent on agreeing a site with a willing community and the associated complexity of geology.","2008-06-30","2040-12-31","Compared to 2021-Q4, your project end-date remained scheduled to finish on 31 DEC  2040  . This is primarily due to the following factors: Significant progress has been made during the financial year even with the ongoing constraints of CoVID and the associated impact for community engagement.  However, many work-arounds have been effective in continuing engagement, noting that the communities set the pace for their own progress through the 'willing community' process.  3 community partnerships and now been formed and a fourth working group is preparing for Community Partnership formation and initial community investment grants have been approved.  Work continues to progress on potential additional community working groups in particular for targeted community lead generation.  The detailed preparations are underway for starting the first seismic surveys - Copeland summer 2022.  The detailed planning and procurement processes are underway for the formal site evaluation of all current sites.   The schedule remains on target for the first key decision point - site down selection in 25/26.","£52.03","£43.17","-17%","The budget variance exceeds 5%. The budget variance exceeds 5%.  This is primarily due to the following factors resulting in a reduced spend in year:
1) Slower than anticipated progression of communities to form Working Groups and move to Community Partnerships.  In addition, we have had fewer WGs and CPs being formed than assumed in the budget. Also, ongoing CoVID impacts with more virtual events scheduled over the year and the associated reduction in spend.
2) Budget constraints applied to the final quarter of the year have resulted in deferrals, including the next phase of the borehole sealing demonstration, and slow down in some of the technical support activities and associated reduction in spend.  Decisions were taken to prioritise activities that support the critical and key paths to the first major decision point in 2025/26.  Recruitment of resources required to deliver increased capability within the programme to support the next phases of work was paused.","£20,300","Compared to2021-Q4, the projects Baseline Whole Life Cost increased from 12743.00 (£m) to 20300.00 (£m). This is primarily due to the following factors: The costs have been aligned with the HMG approved programme business case (Oct 2019).
The revised Whole Life Cost (WLC) envelope includes a range of scenarios associated with the waste inventory and the significant levels of variability associated with the location and the possible geological complexities.
Current estimates are between £10.2bn-£27.3bn cost to HMG (as stated in the Q3 report) to dispose of the legacy waste, rising to £20.3-£53.3bn (aligned to the 2019 approved FBC) for the whole inventory, including an allowance for risk and optimism bias.  The non HMG costs will be covered mainly through the Funded Decommissioning Programme for new nuclear build projects.  The WLC costs are spread over a period to c.2200."
"BEIS_0011_2021-Q4","Green Homes Grant: Local Authority Delivery (LAD)","BEIS","Government Transformation and Service Delivery","BEIS has administered £500m funding to Local Authorities in England to support energy improvements to the worst quality homes by installing energy efficiency measures and low carbon heating.","Amber","","Compared to financial year 20/21-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 21/22-Q4 remained at Amber The delivery confidence status is amber for the Local Authority Delivery (LAD) project. LAD is a £500m project made up of two phases (Phase 1 and Phase 2), supporting Local Authorities to help low-income households in England by making their homes more energy efficient.

LAD has been delivering amidst the risks of insufficient staffing, Covid-19 restrictions hindering their delivery, and strained supply chains across materials and installers due to price increases and reductions in supply. Work is ongoing to mitigate these risks through close monitoring of Covid-19 case numbers and by monitoring reports from LAs to assess any impact on installations.","2020-03-01","2023-04-28","Compared to 2021-Q4, your project end-date increased from 31 MAR 2022  to 28 APR 2023 . This is primarily due to the following factors: Delivery deadlines for LAD Phases 1 & 2 have been extended through a managed closure approach designed to maximise delivery in light of challenges resulting from Covid-19 and supply chain pressure. Delivery of all LAD projects are planned to complete by September 2022.","£1.20","£1.29","0%","The budget variance exceeds 5%. The projects gained approval in Q2 to extend delivery into 2022. This has increased RDEL admin costs and will require further budget in 2022/23 to see the project through to end of delivery and closure.","£506","Compared to2021-Q4, the projects Baseline Whole Life Cost increased from 505.20 (£m) to 506.40 (£m). This is primarily due to the following factors: The increased cost will be used to fund the administration of the LAD extension."
"BEIS_0006_2021-Q3","Green Homes Vouchers Programme","BEIS","Government Transformation and Service Delivery","The Green Homes Grant Voucher Scheme GHGv was the announced as part of the Government's Economic Stimulus package to support Energy Performance and Low Carbon Heat Industries recovery from COVID19.

The scheme closed to new applications on 31 March 2021 residual applications and issued vouchers were processed up until spring 2022.","Amber","","Compared to financial year 20/21-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 21/22-Q4 decreased from Red to Amber The programme was set up and launched at pace in order to support the economy in its recovery from the Covid 19 pandemic. This caused significant risk to the delivery of the scheme within a short time frame. 
LAD has been delivering amidst the risks of insufficient staffing, Covid-19 restrictions hindering their delivery, and strained supply chains across materials and installers due to price increases and reductions in supply. Work is ongoing to mitigate these risks through close monitoring of Covid-19 case numbers and by monitoring reports from LAs to assess any impact on installations. 
The majority of vouchers and applications have been processed. A support team was deployed in early 2022 to process any remaining vouchers following the main suppliers contract expiration.","2020-09-01","2022-03-31","Compared to 2021-Q4, your project end-date increased from 31 MAY 2021  to 31 MAR 2022 . This is primarily due to the following factors: Following the closure of the scheme to new applications in March 2021, the project progresses into its legacy phase as originally planned throughout 2022.","£356.40","£212.18","-40%","The budget variance exceeds 5%. Programme Capital: Budget for FY 21/22 was initially £320M with £100M was allocated to similar Net Zero Programmes as agreed with HMT. actual spend of £197.330M. Early closure of the scheme and high attrition of customers through a variety of regularity and proprietary checks continued to reduce achievable spend on capital.","£482","Compared to2021-Q4, the projects Baseline Whole Life Cost increased from 468.66 (£m) to 481.96 (£m). This is primarily due to the following factors: The whole life costs to the department spanning FY 20/21, FY 21/22 and FY 22/23 years of Capital (CDEL), Resource Programme and Admin (RDEL) is currently £288M."
"BEIS_0001_1617-Q2","Heat Networks Investment Project","BEIS","Infrastructure and Construction","HNIP is to help create a self-sustaining heat network market by:
1. Increasing the volume of heat delivered by new or expanded heat network applicant projects through the provision of a proportion of their capital costs in the form of Government loan and grant finance; this will leverage private finance, and other investment funding, into the heat networks. 
2. Delivering carbon savings for carbon budgets 4 and 5 (2023-2032). 
3. Building market capability to develop optimised heat networks that will meet local needs and support heat networks development.","","Green","Compared to financial year 20/21-Q4, the Delivery Confidence Assessment rating at 21/22-Q4 decreased from Amber to Green HNIP Main Scheme is progressing to schedule with all awarded funding drawdown on time.  Key delivery milestones are on track as the project transitions into a period of monitoring and reporting.","2015-11-25","2022-03-31","Compared to 2021-Q4, your project end-date remained scheduled to finish on 31 MAR  2022  . This is primarily due to the following factors: HNIP is being delivered in two phases: the pilot scheme, which is complete, and the Main Scheme which closed to applicants in November 21.","£62.30","£119.10","92%","The budget variance exceeds 5%. Variance includes additional funding provided to projects using underspend from elsewhere in the Heat Networks Transformation project. Spend is still within overall budget for project as a whole.","£376","Compared to 2021-Q4,the projects Baseline Whole Life Cost remained at 375.90 (£m). This is primarily due to the following factors: Whole life cost is currently below baseline.  This is due to the slower than anticipated Main Scheme mobilisation to launch period."
"BEIS_0016_2122-Q1","Help to Grow - Digital","BEIS","Government Transformation and Service Delivery","The Help to Grow: Digital Programme aims to address the UK's longstanding productivity gap by supporting up to 100,000 SMEs over three years through the provision of high-quality advice, guidance, and information around digital technology adoption and of a financial incentive to purchase and implement digital technologies proven to raise productivity.","Amber","","The Infrastructure Project Authority's Delivery Confidence Assessment rating at 21/22-Q4 is Amber The scheme, as planned, continues to develop and evolve to increase the scheme reach. As the scheme evolves there is expected to be an improvement in the RAG score.","2021-03-03","2025-01-20","Your project end-date is 20 JAN 2025. This is primarily due to the following factors: The Help to Grow: Digital Programme will run over three years. The scheme successfully launched in January 2022. The programme appointed its delivery partner in November with the partner scheduled to take on responsibility for scheme delivery in summer 2022.","£26.89","£16.92","-37%","The FY 21/22 funding allocation could not be fully deployed to accommodate the revised launch timeline.","£314","Your projects Baseline Whole Life Cost is 313.81 (£m). This is primarily due to the following factors: The whole life costs have been estimated based on 100,000 vouchers being issued to SMEs over the life of the scheme. Average voucher values have been based on estimates of different technologies weighted by the predicted take up from a survey of over 1,000 of the SMEs that registered an interest in the scheme."
"BEIS_0017_2122-Q1","Help to Grow - Management","BEIS","Government Transformation and Service Delivery","Help to Grow: Management will deliver an intensive national training programme, to improve SME leadership and management skills and address firm level productivity challenges. Over the next 4 years, the programme aims to support 30,000 SME business leaders to increase productivity, seize investment opportunities and grow their business, all whilst levelling-up productivity across the UK.","","Amber","The Senior Responsible Owner Delivery Confidence Assessment rating at 21/22-Q4 is Amber Amber RAG rating reflects that the Programme has a viable product and mechanism for delivery which is well received by users. 

Key changes to Programme supply are being progressed with a competitive tender for a pro-bono mentoring provider to be on boarded in                                    2022 (closed on 18th March) and development of a national alumni model. Programme supply for Year 2 is expected to be greater than demand, giving low risk of being unable to meet demand.

We are progressing extensive engagement to raise demand . The Customer Acquisition team have launched sales pilots and are improving the customer journey through changes to the website and management of Expressions of Interest (EOIs).","2021-04-01","2025-03-28","Your project end-date is 28 MAR 2025. This is primarily due to the following factors: HMT cover was secured in the 2021 Spending Review settlement to extend Help to Grow Management to a fourth year","£59.20","£19.20","-68%","The Programme costs are driven by demand as costs rise as more SMEs take part in the Programme. As demand for Year 1 has not been as high as originally assumed, we are going to under-spend for Year 1 of the Programme","£221","Your projects Baseline Whole Life Cost is 221.39 (£m). This is primarily due to the following factors: The Programme was provided £224m over three years to support 30,000 SMEs. In the 2021 Spending Review, HMT extended the programme to cover a fourth year"
"BEIS_0012_2021-Q4","Home Upgrade Grant (HUG) Phase 1","BEIS","Government Transformation and Service Delivery","The Home Upgrade Grant (HUG) Phase 1 is a £218.6m scheme that will provide energy efficiency upgrades and low-carbon heating to low-income households living off-gas grid in England to tackle fuel poverty and meet net zero commitments. Delivery of the scheme started in January 2022 and is scheduled to finish in March 2023.","Amber","","Compared to financial year 20/21-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 21/22-Q4 remained at Amber The delivery confidence status is amber for HUG Phase 1. Following approval of HUG Phase 1's extension by PIC, the scope of the scheme has been expanded to grant an additional £66.4m of funding to Local Authorities. Total funding allocated to HUG Phase 1 in 21/22 for delivery by Local Authorities (LAs) from January 2022 to March 2023 is £218.6m.
The delivery status of amber reflects delivery risks associated with the project, including the risks associated with capacity within the supply chain to support the delivery of measures into homes and Local Authorities changing their projects to no longer align with BEIS benefits/aims. Work is ongoing to manage and mitigate these risks, including updating of sensitivity analysis and options analysis with policy to ensure future projects require less change by policy design.","2020-03-01","2023-07-31","Compared to 2021-Q4, your project end-date increased from 31 MAR 2023  to 31 JUL 2023 . This is primarily due to the following factors: Delivery of HUG Phase 1 commenced in January 2022 and is scheduled to finish in March 2023. This will be followed by a project closure period.","£153.02","£152.98","0%","The budget variance is inferior or equal to 5%. Budget variance is less than 5%","£223","Your projects Baseline Whole Life Cost is 222.72 (£m). This is primarily due to the following factors: Whole life cost will be used to fund local authorities via Section 31. The total budget has increased due to an extension granted in this period to £222.7m."
"BEIS_0004_2122-Q2","Industrial Decarbonisation & Hydrogen Revenue Support","BEIS","Government Transformation and Service Delivery","Not Applicable - First GMPP report for IDHRS and an annual report exemption has been given.","Early planning GMPP project 

(The project has not yet passed SOC, or its programme equivalent)","Early planning GMPP project 

(The project has not yet passed SOC, or its programme equivalent)","Early planning GMPP project 

(The project has not yet passed SOC, or its programme equivalent)","Early planning GMPP project 

(The project has not yet passed SOC, or its programme equivalent)","Early planning GMPP project 

(The project has not yet passed SOC, or its programme equivalent)","Early planning GMPP project 

(The project has not yet passed SOC, or its programme equivalent)","Early planning GMPP project 

(The project has not yet passed SOC, or its programme equivalent)","Early planning GMPP project 

(The project has not yet passed SOC, or its programme equivalent)","Early planning GMPP project 

(The project has not yet passed SOC, or its programme equivalent)","Early planning GMPP project 

(The project has not yet passed SOC, or its programme equivalent)","Early planning GMPP project 

(The project has not yet passed SOC, or its programme equivalent)","Early planning GMPP project 

(The project has not yet passed SOC, or its programme equivalent)"
"BEIS_0068_2122-Q3","Local Authority Delivery (LAD) Phase 3","BEIS","Government Transformation and Service Delivery","The Local Authority Delivery (LAD) Phase 3 is a £286.8m scheme that will provide energy efficiency upgrades and low-carbon heating to low-income households living on-gas grid in England to tackle fuel poverty and meet net zero commitments. Delivery of the scheme started in January 2022 is scheduled to finish in March 2023.","","Amber","The Infrastructure Project Authority's Delivery Confidence Assessment rating at 21/22-Q4 is Amber The delivery confidence status is amber for LAD Phase 3 is amber. LAD Phase 3 was allocated £200m of funding in March 2021, with a further £86.8m allocated to the scheme from the Green Home Grants Vouchers underspend as part of the closure of the vouchers scheme.

The delivery status of amber reflects delivery risks associated with the project, including the risks associated with capacity within the supply chain to support the delivery of measures into homes and Local Authorities changing their projects to no longer align with BEIS benefits/aims. Work is ongoing to manage and mitigate these risks, including updating of sensitivity analysis and options analysis with policy to ensure future projects require less change by policy design.","2020-03-01","2023-07-31","Your project end-date is 31 JUL 2023. This is primarily due to the following factors: LAD Phase 3 commenced delivery in January 2022 and remains on track to finish in March 2023. This will be followed by a project closure period.","£287.88","£287.47","0%","Budget variance is less than 5%","£290","Your projects Baseline Whole Life Cost is 289.50 (£m). This is primarily due to the following factors: Whole life cost will be used to fund local authorities via Section 31."
"BEIS_0001_2122-Q2","Low Cost Nuclear Programme (Rolls Royce SMRs Challenge)","BEIS","Infrastructure and Construction","The Low Cost Nuclear Programme Phase 2 is a £468m (£210m grant + £258m matched industry funding) Research and Development (R&D) and innovation project aiming to further develop the UK small modular reactor power station concept, to enable the design to successfully pass the key regulatory milestone of Generic Design Assessment (GDA) Step 2 completion by 31/03/2025. The grant recipient, and lead on the project is Rolls Royce SMR Ltd. BEIS is responsible for the project, and have contracted UKRI to act as delivery partner, providing programme management and assurance of the grant funding","Amber","","The Infrastructure Project Authority's Delivery Confidence Assessment rating at 21/22-Q4 is Amber The Infrastructure Projects Authority Delivery Confidence Assessment rating at 21/22-Q4 is Amber.  This is due to initial delays in commencing the project.  Major initial milestones have been achieved, however, the project is not yet rated green given other milestones are not yet on track, but overall delivery is achievable within the timeframe of the project to March 2025.  The RR SMR Ltd led project team is undertaking significant recruitment to fill rapid expansion which is expected to bring the project back on track.","2021-05-01","2025-03-31","Your project end-date is 31 MAR 2025. This is primarily due to the following factors: The overall timelines are driven by the desired outcome, of completion of Step 2 of GDA, which the project entered in March 2022.","£8.00","£16.40","0%","The GMPP project did not provide data","£468","Your projects Baseline Whole Life Cost is 468.00 (£m). This is primarily due to the following factors: The project is currently on track to deliver the desired outcome within the timeframe, with costs driven by the key innovations and work to complete Step 2 of GDA."
