"GMPP ID Number","Project Name","Department","Annual Report Category","Description / Aims","IPA Delivery Confidence Assessment 
"BEIS_0005_1920-Q4","Met Office Supercomputing 2020+ Programme","BEIS","ICT","Delivering our future supercomputing capability through the procurement and installation of a replacement and increased supercomputing capacity to meet the contracted end of life timescales of our current systems. This will include storage, observations networks, post processing systems and services, tooling for data exploitation, delivery and support resources throughout the investment lifetime, data centre hosting, networking, security services and decommissioning .","","Amber","Compared to financial year 20/21-Q4, the Delivery Confidence Assessment rating at 21/22-Q4 increased from Amber/Green to Amber Procurement phase and approval phase is complete and we are into the delivery phase of the programme.

The last review was in Dec 2020, those actions have been met.","2018-01-01","2032-08-11","Compared to 2021-Q4, your project end-date remained scheduled to finish on 11 AUG  2032  . This is primarily due to the following factors: We have experienced supplier delays which had delayed our key implementation milestones, this was due to supply chain issues on behalf of the supplier and their sub contractors. A replanning exercise is due to be completed imminently.","£37.07","£18.08","-51%","The programme is under spent, this year as delays to the implementation have caused key milestones and subsequent payment to move into later years.","£1,242","Compared to 2021-Q4,the projects Baseline Whole Life Cost remained at 1242.05 (£m). This is primarily due to the following factors: Whole life baseline costs remain unchanged, but due to supplier delays we are showing a reduction in the forecast as costs are re profiled."
"BIS_0014_1415-Q3","New Polar Research Vessel","BEIS","Infrastructure and Construction","Royal Research Ship Sir David Attenborough will replace two existing polar research/supply vessels with one dual purpose ship which planned to save £102m over 30 years","","Green","Compared to financial year 20/21-Q4, the Delivery Confidence Assessment rating at 21/22-Q4 decreased from Amber/Green to Green Programme is now into closure phase and all actions have been addressed within BAU","2014-05-01","2022-12-31","Compared to 2021-Q4, your project end-date remained scheduled to finish on 31 DEC  2022  . This is primarily due to the following factors: Programme is now into closure phase. and remains on track to close in 2023.","£38.00","£38.00","0%","The budget variance is inferior or equal to 5%. Project spend has stopped this is now a BAU activity.","£1,420","Compared to 2021-Q4,the projects Baseline Whole Life Cost remained at 1419.50 (£m). This is primarily due to the following factors: The whole life costs represents costs until 2043/44. These costs include the project costs until closure and recurring Antarctic Partition and Logistics infrastructure budget costs."
"BEIS_0002_2122-Q2","NZHF","BEIS","Infrastructure and Construction","The Net Zero Hydrogen Fund is a £240 m fund that will be delivered between 2022 to 2025 via 4 strands. The aim of the NZHF is to support the commercial deployment of new low carbon hydrogen production projects during the 2020s, ensuring the UK has a diverse and secure decarbonised energy system fit for meeting our ambition of 10GW low carbon hydrogen production by 2030, and commitment to reach net zero by 2050.","Amber","","The Infrastructure Project Authority's Delivery Confidence Assessment rating at 21/22-Q4 is Amber This rating is due to the Gateway 3 review in January 2022. A recommendation action plan was created and the teams are working through to deliver and complete recommendations by 31/08/2022 and we are on track to launch the Net Zero Hydrogen Fund on time, in April 2022.","2020-11-18","2025-03-31","Your project end-date is 31 MAR 2025. This is primarily due to the following factors: The project's end-date at 21/22-Q4 is schedule to finish on 31/03/2025. This is primarily due to the following factors. The project is on track to delivery all key milestones to launch the Net Zero Hydrogen Fund in April 2022. Strands 1 & 2 will open on the fund launch and aim to award funding by the 31/12/2022. Strands 3 & 4 will be launched in June 2022 and April 2023, respectively.","","","","The budget variance is less than or equal to 5%.","£242","Your projects Baseline Whole Life Cost is 242.02 (£m). This is primarily due to the following factors: The project departmental-agreed Whole Life Cost at 21/22-Q4 is 242.02 (£m). This is primarily due to the following factors. Whole life costs are based on expected CDEL and RDEL spend over the current spending review period to 2024/25. The CDEL estimate reflects the expected spend through the NZHF on grants to support the deployment of UK low carbon hydrogen production. They have been estimated using expected production costs that can be found in the BEIS 2021 Hydrogen Production Costs Report. The RDEL estimate reflects the expected delivery costs of the fund, which have been estimated based on information gathered from previous schemes and refined to reflect the expected delivery model of the NZHF."
"BEIS_0013_2021-Q4","Public Sector Decarbonisation Scheme (PSDS)","BEIS","Infrastructure and Construction","A capital funding programme for heat decarbonisation and energy efficiency improvements in public sector organisations. The PSDS has received funding for three phases. Phase 1 consists of £1bn of funding to be delivered over 2020/21 and 2021/22. Phase 2 consists of £75m of funding to be delivered over the 2021/22 financial year. Phase 3 consists of £1.425 billion funding to be delivered over three years between 2022/23 and 2024/25.Funding for further phases of the Scheme will be determined through the Spending Review process. Funding for Phases 1 and 2 of the Scheme ended on 31 March 2022.","Amber","","Compared to financial year 20/21-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 21/22-Q4 remained at Amber £1.075 billion has been allocated for Phases 1 and 2 of the Scheme. No further funding will be allocated through these phases. Funding for Phase 3 of the Scheme has been confirmed through the 2021 Spending Review. Close to the full budget for the first year of Phase 3 has been allocated, to allow grant recipients to start drawing down funding from April 2022. Delivery confidence remains at amber due to the impact of the Covid-19 pandemic on Phase 1 and 2 projects.","2020-07-08","2025-03-31","Compared to 2021-Q4, your project end-date increased from 31 MAR 2022  to 31 MAR 2025 . This is primarily due to the following factors: The Scheme has 3 phases that are currently in delivery. We take a hybrid approach to project planning, leaning mostly on waterfall methodology but incorporating insights from previous phases into subsequent phases, iterating with stakeholders and others through the scheme design process. All three phases of the scheme are delivered through Salix Finance - public sector organisations apply to Salix for grant funding to complete heat decarbonisation and energy efficiency projects, Salix then assesses these bids, issues grant offer letters to successful applicants, monitors the delivery of the resulting portfolio of grant-funded projects, and issues grant payments.","£503.89","£503.89","0%","The budget variance is inferior or equal to 5%. The CDEL baseline costs are based on the confirmed budgets for the PSDS. The CDEL budget is £600m in 2020/21 and £475m in each of 2021/22, 2022/23, 2023/23 and 2024/25. The budget for future phases of the Scheme will be determined through the Spending Review process.

The 2020/21 and 2021/22 RDEL budget included funding for the Public Sector Low Carbon Skills Fund (LCSF), funding for Salix Finance Ltd to deliver the PSDS and other programme costs (eg for evaluation contractor). The RDEL figure for 21/22 forecast is 23.77","£2,570","Compared to2021-Q4, the projects Baseline Whole Life Cost increased from 1116.14 (£m) to 2570.03 (£m). This is primarily due to the following factors: £1.425 billion of funding for Phase 3 of the PSDS was allocated via the Autumn Budget and Spending Review 2021. This will provide £475 million of funding for three financial years from 2022/23 to 2024/25."
"BEIS_0007_2021-Q3","Replacement Analytical Project","BEIS","Infrastructure and Construction","The Replacement Analytical Project is a key component of the Analytical Services Programme, which provides essential services to operations on the Sellafield Site supporting 22 Programmes & approximately 200 Operational Facilities.  The existing facility is 60 years old and cannot provide long-term capability so new analytical facilities need to be established. The Replacement Analytical Project has therefore been initiated to deliver future analytical capability to the Sellafield site, through a major modification of the National Nuclear Laboratory Central Laboratory.  Key modifications are provision of standalone Highly Active (HA), Medium Active (MA) and Special Nuclear Material (SNM) analytical capability.  A key part of the scope is the delivery of 135 Analytical Instruments which will perform the ongoing analysis required by facilities at Sellafield.  Analytical Services remains essential to the delivery of high hazard reduction and remediation until the completion of the Sellafield Ltd mission.","Red","","Compared to financial year 20/21-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 21/22-Q4 increased from Amber to Red Since June 2021 due to known risks and concerns over the successful delivery of the RAP project to its 2019 Outline Business Case commitments, the RAP project undertook an Executive sponsored review of its delivery schedule and cost estimate to completion. This work produced its first unassured outputs in November 2021. Initial output has indicated a project completion range of November 2028 - November 2031 with a most likely outturn cost of £900m to £1.1bn (nb. pre-optimisation exercise / risk modelling) comparable to the OBC P50 of £680m (fully escalated). The Executive level sponsored Challenge & Optimisation process is continuing which is reviewing the scope, constraints, risks and execution approach in order to potentially reduce the schedule and cost. The output from the activities underway will drive the most up-to-date assessment of cost and schedule outturn, providing a first updated forecast output in July 2022,  and inform the activities required to realise the opportunities ahead of the next formal sanction gate (the FBC) around July 2024.","2016-09-26","2028-07-10","Compared to 2021-Q4, your project end-date remained scheduled to finish on 10 JUL  2028  . This is primarily due to the following factors: The baseline end date is 10th July 2028.  However, the latest forecast of 9th Nov 2028 for completion of project support to active commissioning reflects a 4 month slippage from the Outline Business Case and baseline date, with the significant factors being the impact of COVID, resource recruitment/retention issues and supply chain contract delays.  Given the early maturity of the project in the detailed design phase and typically for projects at this stage, the lifetime schedule for future phases is not underpinned and is likely to change as the project matures. Latest forecast range for project end date, pre-optimisation exercise and risk modelling is November 2028 to November 2031.","£53.48","£44.39","-17%","The budget of £53.48m represents the planned scope to be delivered against the plan put in place in 2019 based on the OBC, which compares to a forecast of actual scope to be delivered of £35.53m, at a cost of £44.39m.  The project has delivered less scope than originally planned due to performance issues including the multiple impacts of COVID; design deliverables delayed due to revised working arrangements and restrictions, limited site access causing delays to early construction enabling works, resource recruitment/retention issues and delays placing supply chain contracts.  The actual scope delivered has cost more than planned primarily due to performance issues including the impact of COVID resulting in reduced productivity and inefficient working.","£648","Compared to2021-Q4, the projects Baseline Whole Life Cost increased from 643.54 (£m) to 647.67 (£m). This is primarily due to the following factors: The current baseline of £647.67m reflects the P50 (a probability of 50% to deliver for the cost) cost profile in the Outline Business Case, escalated into 2021/22money values and incorporating the cumulative positive cost variance up to 2018/19. Given the relative immaturity of the project the P80 (a probability of 80% to deliver for the cost)  is £800M and the upper range is £1Bn from the Outline Business Case in 2019/20 money values (P80 fully escalated is £878m). Latest forecast project P50 cost range, pre optimisation exercise and risk modelling, is £900m to £1.1bn"
"BEIS_0008_2021-Q3","Sellafield Product and Residue Store Retreatment Plant","BEIS","Infrastructure and Construction","To provide a facility that will receive special nuclear material from existing stores on the Sellafield site and process into a form suitable for safe and secure storage until 2120.","Amber","","Compared to financial year 20/21-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 21/22-Q4 decreased from Amber/red to Amber This is a complex, ""first of a kind"" nuclear project, and as such has a high degree of delivery risk. Full Business Case (FBC) achieved HMG approval in Q2 2021. The Full Business Case (FBC) is based on the Major Project Baseline developed with Programme & Project Partners (PPP) and a matured view of the project scope and market informed cost and schedule information.","2012-03-01","2029-08-20","Compared to 2021-Q4, your project end-date increased from 02 NOV 2026  to 20 AUG 2029 . This is primarily due to the following factors: The Full Business Case (FBC) was approved in July 2021, and the Programme and Project Partners (PPP) Major Project Baseline have been set. This  result in a revised project end date of the 20th August 2029.","£113.54","£111.79","-2%","The GMPP project did not provide data","£1,278","Compared to2021-Q4, the projects Baseline Whole Life Cost increased from 763.98 (£m) to 1277.71 (£m). This is primarily due to the following factors: The whole lifetime cost is based on the last approved Full Business Case.   The FBC is based on the Major Project Baseline developed with Programme and Project Partners  and a matured view of the project scope and market informed cost and schedule information. The project FBC has undergone extensive assurance during its development. The FBC baseline has a project P50 completion date of August 29 and the PPP 'offered' target is February 29."
"BEIS_0009_2021-Q3","SIXEP Continuity Plant","BEIS","Infrastructure and Construction","SIXEP Continuity Plant will replace the existing effluent treatment plant at Sellafield as it approaches end of life and will provide interim waste storage capability.  It is a key enabler for  the safe and reliable retrieval and treatment of legacy waste at Sellafield, in support of government and Nuclear Decommissioning Authority strategic objectives.","Amber","","Compared to financial year 20/21-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 21/22-Q4 decreased from Amber/red to Amber This is a complex nuclear project on an operational nuclear site. The Full Business Case was approved by government in December 2021 and is in execution with manufacturing and construction activities ongoing.  The first major project milestone is on track for July 2022 and the project end date remains stable.  More broadly, robust asset management of existing facilities associated with the site effluent infrastructure will need to be ensured for the project and wider programme benefits to be realised. The newly established Programme and Project Partnership is being used to deliver this project and its success is critical. It is also worth noting that this project replaces the current effluent treatment facility and is mission critical to the future safe operation of the site.","2013-05-25","2031-01-23","Compared to 2021-Q4, your project end-date increased from 20 DEC 2027  to 23 JAN 2031 . This is primarily due to the following factors: The Full Business Case (FBC) has been approved by HMT, and the Programme and Project Partners (PPP) Major Project Baseline has been set with the project completion date May 2030 with a ICP50 date of January 2031, inclusive of COVID impact to June 2021. The Project remains on schedule and is forecast to deliver within the FBC IC P50 dates.","£93.93","£84.44","-11%","The spend for 2021/22 of £84.44m is 11% lower than the planned scope of £93.93m.  The in-year delta comprises (i) deferral of some project specific procurement packages to align with long-term strategic procurements; and (ii) cost savings in the areas of site logistics and resourcing.","£960","Compared to2021-Q4, the projects Baseline Whole Life Cost increased from 589.91 (£m) to 959.62 (£m). This is primarily due to the following factors: The Full Business Case (FBC) has been approved by HMT, and the Programme and Project Partners (PPP) Major Project Baseline have been set with the project completion date May 2030 with a P50 date of January 2031, inclusive of COVID impact to June 2021. The lifecycle cost has increased to £1.007bn (@P50 incl. Covid-19 up to June 2021), £1.182bn (@P80 incl. Covid-19 beyond June 2021) and £1.25bn with Reference Class Forecasting/ Optimum Bias and COVID impacts up to June 20/21. All numbers are inflated as per FBC.  The current baseline figures are reported at FBC, inclusive of Aligned Incentive Fund (AIF) and Intelligent Client (IC) P50."
"BEIS_0019_2122-Q1","Sizewell C","BEIS","Infrastructure and Construction","The Sizewell C (SZC) project team will lead on negotiations with SZC and EDF (its main shareholder) and will have responsibility for designing a viable funding/financing model that delivers the Government objectives of value for money, fiscal responsibility, and decarbonisation. EDF's planned project in Suffolk - Sizewell C - is considered the most advanced new nuclear project in the UK and is likely to be the only project capable of delivering the Energy White Paper objective for at least one large scale nuclear project to reach Final Investment Decision (FID) this Parliament.","Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.","Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.","Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.","2021-01-01","2023-04-21","Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.","Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.","Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.","Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.","Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.","Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.","Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests."
"DECC_0010_1112-Q1","Smart Metering Implementation Programme","BEIS","Infrastructure and Construction","The Programme aims to replace existing traditional gas and electricity meters across Great Britain with smart gas and electricity meters resulting in a cleaner, cheaper and more reliable energy system. Smart meters are a key enabler of technologies such as electric vehicles, smart tariffs and microgeneration to be efficiently integrated with renewable energy sources, underpinning the cost-effective delivery of Government's net zero commitment.","","Amber","Compared to financial year 20/21-Q4, the Delivery Confidence Assessment rating at 21/22-Q4 remained at Amber The IPA and SRO Delivery Confidence Assessment (DCA) rating has continued to be Amber,  due primarily to the following factors:

-	There were 27.8 million smart and advanced meters operating across Great Britain as of end December 2021.
-	A new 4 year regulatory framework was implementation on 1st January 2022. 
-	Re-mobilisation support across industry delivery partners was established to respond to the impact of COVID-19. Industry has made good progress in re-mobilising workforces and BEIS has continued to provide support to industry.
-	Customer smart meter eligibility is increasing following positive developments on resolution of residual technical issues.
-	BEIS continues to work with energy suppliers to increase consumer uptake through improved consumer engagement and operational fulfilment activities, supported by consumer policies, and to drive faster progress towards a market wide roll-out.","2009-12-02","2025-12-31","Compared to 2021-Q4, your project end-date increased from 30 JUN 2025  to 31 DEC 2025 . This is primarily due to the following factors: The obligation on energy suppliers to take all reasonable steps to install smart meters was extended by six months to 31 December 2021 to enable them to manage disruption caused by COVID-19. Consistent with this decision, the new four-year Targets Framework commenced on 1 January 2022 and will end on 31 December 2025.","£9.90","£9.90","0%","The budget variance is inferior or equal to 5%.","£20,147","Compared to2021-Q4, the projects Baseline Whole Life Cost increased from 20136.95 (£m) to 20146.85 (£m). This is primarily due to the following factors: The baseline Whole Life Cost has increased from £20,136.95m to £20,146.85 as it now includes the agreed programme costs for 2021/2022 which were confirmed through the BEIS business planning process."
"BEIS_0014_2021-Q4","Social Housing Decarbonisation Fund","BEIS","Infrastructure and Construction","The 2019 Conservative Manifesto committed to a £3.8bn Social Housing Decarbonisation Fund over a 10-year period. SHDF will support the ambition set out in the Clean Growth Strategy, that as many homes as possible are improved to Energy Performance Certificate (EPC) band C by 2035, and for all fuel-poor homes to reach this target by 2030. SHDF will play a critical role in meeting legally binding fuel poverty targets as set out in the Fuel Poverty Strategy. Owing to the proposed length of the scheme, and the uncertainty in the decarbonisation environment (e.g., electrification/hydrogen decision ), SHDF will be delivered in four waves. SHDF Wave 1 commitments will build on the findings of the SHDF Demonstrator project, scaling up supply chain capacity and knowledge as in advance of the larger, longer-term Wave 2 which has recently been confirmed in Spending Review 21.","Amber","","Compared to financial year 20/21-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 21/22-Q4 remained at Amber		""Programme: The programme team continues to grow in both capacity and capability in the context of a complicated programme. The CSR 21 provides certainty for the program over the next 3 years but the programme is seeking to expand the commitment to cover the totality of Wave 2 whilst providing certainty for future waves. The demonstrator project is currently preparing for closure later in financial year 22/23 and learning the appropriate lessons from there remains a priority. 

Wave 1: All MoUs have been signed, returned and the grant funding issued by the end of March 2023. A total of around £179.5m was sent to 69 Local Authorities and delivery on those projects has commenced. The Wave 1 Project hosted a launch conference (Energise) in March 2023 to build momentum and kick start the delivery of the projects. The fist monthly report was due for submission on the 10th working day of April, and the DSAs are continued to be signed and returned. To date 55/69 DSAs are completed. 

Wave 2: Work is underway to cement the policy position for Wave 2 in advance of the OBC in June which will then be followed by the launch of the competition in August. "" SHDF Wave 1 Project underwent an IPA Gate 3 review in November 2021, receiving a Red Rating. An assurance of action plan (AAP) was developed addressing 9 key recommendations and 3 blockers. The Wave 1 Project underwent a Gate 3 re-review in January 2022, receiving an Amber rating. Five key recommendations were fully addressed as part of the AAP, four actions required further attention. Since January, two further recommendations have been closed through the passing of PIC and by fully resourcing the team, leaving 2 recommendations (supply chain capacity and delivery plans) ongoing. These actions are currently progressing and will continue throughout the delivery of the Project.","2020-09-09","2030-03-31","Compared to 2021-Q4, your project end-date remained scheduled to finish on 31 MAR  2030  . This is primarily due to the following factors: The Wave 1 Project issued £187.5m grant funding prior to the end of the financial year and delivery has commenced on those projects.  Wave 2 currently remains on track to deliver financial payments as planned.","£65.33","£184.77","185%","The budget variance exceeds 5%. The budget variance exceeds 5%. This is primarily due to the initial agreed baseline for FY21/22 being £160m. However, in September 21, due to the high number of good bids received for SHDF W1, this amount increased to c£180m. It was agreed that the under-spend in other EEL Schemes would cover the overspend in SHDF, allowing the team to fund a great number of projects. The team was able to spend all this amount by the end of FY21/22, after funding all predicted LA Projects successfully through Section 31.","£4,721","Compared to2021-Q4, the projects Baseline Whole Life Cost increased from 4626.29 (£m) to 4720.96 (£m). This is primarily due to the following factors: An increased allocation to the Wave 1 project due to high number of bids received. Also an increased Programme Admin costs due to more resources required to deliver the programme; the SHDF team has informed Central Finance of the potential Admin overspend from the beginning of the FY21/22."
"BEIS_0015_2021-Q4","Vaccines Task Force","BEIS","Government Transformation and Service Delivery","Two years after the VTF was set up, the spring boost campaign is underway. The VTF's initial success of working swiftly to secure vaccines allowed the UK to be the first country to deploy regulated vaccines. Now a BEIS/DHSC joint unit, the VTF still comprises staff from the civil service, private sector, and academia, providing a breadth of expertise to meet our objectives. The VTF has succeeded in securing vaccine for the first booster campaign and supplies for this year and next, including access to potential variant vaccines. The VTF's strengths include close relationships with vaccine supplier and active supply management. We met HMG's target to donate 30m doses by end 2021, with over 53 million doses donated as of April 6th. The VTF has invested over £395 million to secure and scale up the UK's vaccine manufacturing capabilities to respond to the pandemic and further strengthen our domestic capacity.","Amber","","Compared to financial year 20/21-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 21/22-Q4 increased from Amber/Green to Amber. Our overall DCA remains at Amber. The vaccine supply position remains strong, with all doses required for winter booster campaigns delivered by end December. We are well positioned for the spring and paediatric campaigns with sufficient inventory for both. We have sufficient contracted supply for the remainder of the year. The ambition of 30m doses donated internationally by the  end December was met with further progress on donations since then. The Onshoring Programme continues to progress well. Budgets for 2022-23 have now been agreed with HMT and with Departments.","2020-03-26","2022-12-31","Compared to 2021-Q4, your project end-date remained scheduled to finish on 31 DEC  2022  . This is primarily due to the following factors: In November 2021, the UK Government signed contracts to buy a total of 114 million additional Pfizer/BioNTech and Moderna doses for 2022 and 2023, in the event it is needed. The VTF's contribution and participation in COVAX is established and has  distributed surplus vaccine doses internationally, meeting the UK's commitment to 30 million doses by end December 2021. VTF  is maintaining  focus  on ensuring that the UK has the manufacturing capacity to provide resilience for future health needs and on planning for the longer-term future of Covid-19 vaccine procurement and supply with BEIS and DHSC.","£3,228.84","£2,853.64","-12%","The budget variance exceeds 5%. Forecasts have decreased in comparison to baseline funding as some projects have been stopped, and a greater proportion of vaccines are expected to be donated overseas compared to earlier plans.","£7,803","Compared to2021-Q4, the projects Baseline Whole Life Cost increased from 6238.14 (£m) to 7802.86 (£m). This is primarily due to the following factors: The Budgeted Whole Life Costs represent the funding for current Vaccine Taskforce plans up until the end of financial year 2022-23. These include the UK population vaccination and booster programmes, and support for international donations. Whole Life Costs may be subject to future change due to variation in scope."
